video_id,label,dataset,method,split,n_crops
celeb-df-v2__YouTube-real__00238,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00152,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00269,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00209,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00297,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00096,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00255,0,celeb-df-v2,YouTube-real,val,8
celeb-df-v2__YouTube-real__00230,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00259,0,celeb-df-v2,YouTube-real,val,8
celeb-df-v2__YouTube-real__00012,0,celeb-df-v2,YouTube-real,test,8
celeb-df-v2__YouTube-real__00219,0,celeb-df-v2,YouTube-real,val,8
celeb-df-v2__YouTube-real__00003,0,celeb-df-v2,YouTube-real,test,8
celeb-df-v2__YouTube-real__00147,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00241,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00260,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00128,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00243,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00248,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00207,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00249,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00088,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00141,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00078,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00198,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00215,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00100,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00279,0,celeb-df-v2,YouTube-real,test,8
celeb-df-v2__YouTube-real__00093,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00267,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00262,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00229,0,celeb-df-v2,YouTube-real,test,8
celeb-df-v2__YouTube-real__00150,0,celeb-df-v2,YouTube-real,holdout,8
celeb-df-v2__YouTube-real__00069,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00036,0,celeb-df-v2,YouTube-real,val,8
celeb-df-v2__YouTube-real__00227,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00038,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00010,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00034,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00261,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00237,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00162,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00139,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00235,0,celeb-df-v2,YouTube-real,holdout,8
celeb-df-v2__YouTube-real__00024,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00288,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00148,0,celeb-df-v2,YouTube-real,holdout,8
celeb-df-v2__YouTube-real__00116,0,celeb-df-v2,YouTube-real,holdout,8
celeb-df-v2__YouTube-real__00170,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00129,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00060,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00282,0,celeb-df-v2,YouTube-real,holdout,8
celeb-df-v2__YouTube-real__00058,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00204,0,celeb-df-v2,YouTube-real,val,8
celeb-df-v2__YouTube-real__00120,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00063,0,celeb-df-v2,YouTube-real,holdout,8
celeb-df-v2__YouTube-real__00196,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00106,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00192,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00140,0,celeb-df-v2,YouTube-real,test,8
celeb-df-v2__YouTube-real__00127,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00194,0,celeb-df-v2,YouTube-real,holdout,8
celeb-df-v2__YouTube-real__00061,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00072,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00242,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00223,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00110,0,celeb-df-v2,YouTube-real,test,8
celeb-df-v2__YouTube-real__00216,0,celeb-df-v2,YouTube-real,test,8
celeb-df-v2__YouTube-real__00186,0,celeb-df-v2,YouTube-real,holdout,8
celeb-df-v2__YouTube-real__00220,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00008,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00059,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00296,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00289,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00202,0,celeb-df-v2,YouTube-real,val,8
celeb-df-v2__YouTube-real__00149,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00121,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00268,0,celeb-df-v2,YouTube-real,val,8
celeb-df-v2__YouTube-real__00133,0,celeb-df-v2,YouTube-real,train,8
celeb-df-v2__YouTube-real__00277,0,celeb-df-v2,YouTube-real,train,8
